text,target,clean_text
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow
WHO ARE YOU SEEING?,ham,seeing
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,great hope like man well endowed lt gt inch
No calls..messages..missed calls,ham,call message missed call
Didn't you get hep b immunisation in nigeria.,ham,get hep b immunisation nigeria
"Fair enough, anything going on?",ham,fair enough anything going
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,yeah hopefully tyler could maybe ask around bit
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker
What you thinked about me. First time you saw me in class.,ham,thinked first time saw class
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,k fyi x ride early tomorrow morning crashing place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,know mallika sherawat yesterday find lt url gt
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss
"Sorry, I'll call later in meeting.",ham,sorry call later meeting
Tell where you reached,ham,tell reached
Yes..gauti and sehwag out of odi series.,ham,yes gauti sehwag odi series
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,gonna pick 1 burger way home even move pain killing
Ha ha ha good joke. Girls are situation seekers.,ham,ha ha ha good joke girl situation seeker
Its a part of checking IQ,ham,part checking iq
"Sorry my roommates took forever, it ok if I come by now?",ham,sorry roommate took forever ok come
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam,valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham,today song dedicated day song u dedicate send ur valuable frnds first rply
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,urgent ur awarded complimentary trip eurodisinc trav aco entry41 1000 claim txt dis 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam,hear new divorce barbie come ken stuff
I plane to give on this month end.,ham,plane give month end
Wah lucky man... Then can save money... Hee...,ham,wah lucky man save money hee
Finished class where are you.,ham,finished class
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,hi babe im home wanna something xx
K..k:)where are you?how did you performed?,ham,k k performed
U can call me now...,ham,u call
I am waiting machan. Call me once you free.,ham,waiting machan call free
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,thats cool gentleman treat dignity respect
I like you peoples very much:) but am very shy pa.,ham,like people much shy pa
Does not operate after  &lt;#&gt;  or what,ham,operate lt gt
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,still looking job much ta earn
"Sorry, I'll call later",ham,sorry call later
K. Did you call me just now ah? ,ham,k call ah
Ok i am on the way to home hi hi,ham,ok way home hi hi
You will be in the place of that man,ham,place man
Yup next stop.,ham,yup next stop
"I call you later, don't have network. If urgnt, sms me.",ham,call later network urgnt sm
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,real u getting yo need 2 ticket one jacket done already used multis
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,yes started send request make pain came back back bed double coin factory gotta cash nitros
I'm really not up to it still tonight babe,ham,really still tonight babe
"Ela kano.,il download, come wen ur free..",ham,ela kano il download come wen ur free
Yeah do! Don‘t stand to close tho- you‘ll catch something!,ham,yeah stand close tho catch something
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham,sorry pain ok meet another night spent late afternoon casualty mean done stuff42moro includes time sheet sorry
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,please call customer service representative 0800 169 6031 10am 9pm guaranteed 1000 cash 5000 prize
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,havent planning buy later check already lido got 530 show e afternoon u finish work already
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml po box 5249 mk17 92h 450ppw 16
Watching telugu movie..wat abt u?,ham,watching telugu movie wat abt u
i see. When we finish we have loads of loans to pay,ham,see finish load loan pay
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",ham,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
I see a cup of coffee animation,ham,see cup coffee animation
Please don't text me anymore. I have nothing else to say.,ham,please text anymore nothing else say
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,okay name ur price long legal wen pick u ave x am xx
I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,still looking car buy gone 4the driving test yet
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
Umma my life and vava umma love you lot dear,ham,umma life vava umma love lot dear
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,thanks lot wish birthday thanks making birthday truly memorable
"Aight, I'll hit you up when I get some cash",ham,aight hit get cash
How would my ip address test that considering my computer isn't a minecraft server,ham,would ip address test considering computer minecraft server
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,know grumpy old people mom like better lying always one play joke
Dont worry. I guess he's busy.,ham,dont worry guess busy
What is the plural of the noun research?,ham,plural noun research
Going for dinner.msg you after.,ham,going dinner msg
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham,ok wif co like 2 try new thing scared u dun like mah co u said loud
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,gent trying contact last weekend draw show 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam,winner u specially selected 2 receive 1000 4 holiday flight inc speak live operator 2 claim 0871277810910p min 18
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham,goodo yes must speak friday egg potato ratio tortilla needed
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham,hmm uncle informed paying school directly pls buy food
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,urgent mobile awarded 2000 bonus caller prize 5 9 03 final try contact u call landline 09064019788 box42wr29c 150ppm
here is my new address -apples&pairs&all that malarky,ham,new address apple pair malarky
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app
I am going to sao mu today. Will be done only at 12 ,ham,going sao mu today done 12
Ü predict wat time ü'll finish buying?,ham,predict wat time finish buying
"Good stuff, will do.",ham,good stuff
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
Are you there in room.,ham,room
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
K..k:)how much does it cost?,ham,k k much cost
I'm home.,ham,home
"Dear, will call Tmorrow.pls accomodate.",ham,dear call tmorrow pls accomodate
First answer my question.,ham,first answer question
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 1 50 sp tyrone
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31p msg 150p
I only haf msn. It's yijue@hotmail.com,ham,haf msn yijue hotmail com
He is there. You call and meet him,ham,call meet
No no. I will check all rooms befor activities,ham,check room befor activity
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,ham,got c lazy type forgot lect saw pouch like v nice
"K, text me when you're on the way",ham,k text way
"Sir, Waiting for your mail.",ham,sir waiting mail
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",ham,swt thought nver get tired little thing 4 lovable person coz somtimes little thing occupy biggest part heart gud ni8
I know you are. Can you pls open the back?,ham,know pls open back
Yes see ya not on the dot,ham,yes see ya dot
Whats the staff name who is taking class for us?,ham,whats staff name taking class u
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,freemsg replied text randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,ummma call check life begin qatar pls pray hard
K..i deleted my contact that why?,ham,k deleted contact
Sindu got job in birla soft ..,ham,sindu got job birla soft
The wine is flowing and i'm i have nevering..,ham,wine flowing nevering
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,yup thk cine better co need 2 go 2 plaza mah
Ok... Ur typical reply...,ham,ok ur typical reply
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one
Aaooooright are you at work?,ham,aaooooright work
I'm leaving my house now...,ham,leaving house
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,hello love get interview today happy good boy think missing
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam,winner u specially selected 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham,keep safe need miss already envy everyone see real life
New car and house for my parents.:)i have only new job in hand:),ham,new car house parent new job hand
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,love excited day spend make happy
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,pls stop bootydelious 32 f inviting friend reply yes 434 434 see www sm ac u bootydelious stop send stop frnd 62468
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internet service menu
I place all ur points on e cultures module already.,ham,place ur point e culture module already
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam,urgent trying contact last weekend draw show 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,hi frnd best way avoid missunderstding wit beloved one
Great escape. I fancy the bridge but needs her lager. See you tomo ,ham,great escape fancy bridge need lager see tomo
Yes :)it completely in out of form:)clark also utter waste.,ham,yes completely form clark also utter waste
"Sir, I need AXIS BANK account no and bank address.",ham,sir need axis bank account bank address
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",ham,hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao
What time you coming down later? ,ham,time coming later
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",ham,bloody hell cant believe forgot surname mr ill give u clue spanish begin
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham,well gonna finish bath good fine night
Let me know when you've got the money so carlos can make the call,ham,let know got money carlos make call
U still going to the mall?,ham,u still going mall
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",ham,turn friend staying whole show back til lt gt feel free go ahead smoke lt gt worth
Text her. If she doesnt reply let me know so i can have her log in,ham,text doesnt reply let know log
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,hi spoke maneesha v like know satisfied experience reply toll free yes
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend
Lol no. U can trust me.,ham,lol u trust
ok. I am a gentleman and will treat you with dignity and respect.,ham,ok gentleman treat dignity respect
"He will, you guys close?",ham,guy close
Going on nothing great.bye,ham,going nothing great bye
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham,hello handsome finding job lazy working towards getting back net mummy boytoy miss
"Haha awesome, be there in a minute",ham,haha awesome minute
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,please call customer service representative freephone 0808 145 4742 9am 11pm guaranteed 1000 cash 5000 prize
Have you got Xmas radio times. If not i will get it now,ham,got xmas radio time get
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham,jus reached home go bathe first si using net tell u finish k
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam,unique enough find 30th august www areyouunique co uk
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week
Hi :)finally i completed the course:),ham,hi finally completed course
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,ham,stop however suggest stay someone able give or every stool
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham,hope settled new school year wishin gr8 day
Gud mrng dear hav a nice day,ham,gud mrng dear hav nice day
Did u got that persons story,ham,u got person story
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,ham,hamster dead hey tmr meet 1pm orchard mrt
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
"Found it, ENC  &lt;#&gt; , where you at?",ham,found enc lt gt
I sent you  &lt;#&gt;  bucks,ham,sent lt gt buck
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham,hello darlin ive finished college txt u finish u love kate xxx
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
Goodmorning sleeping ga.,ham,goodmorning sleeping ga
U call me alter at 11 ok.,ham,u call alter 11 ok
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham,say like dat dun buy ericsson oso cannot oredi lar
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went
"Aight yo, dats straight dogg",ham,aight yo dat straight dogg
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham,please give u connection today lt decimal gt refund bill
Both :) i shoot big loads so get ready!,ham,shoot big load get ready
"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham,bruv hope great break rewarding semester
Home so we can always chat,ham,home always chat
K:)k:)good:)study well.,ham,k k good study well
Yup... How ü noe leh...,ham,yup noe leh
Sounds great! Are you home now?,ham,sound great home
Finally the match heading towards draw as your prediction.,ham,finally match heading towards draw prediction
Tired. I haven't slept well the past few nights.,ham,tired slept well past night
Easy ah?sen got selected means its good..,ham,easy ah sen got selected mean good
I have to take exam with march 3,ham,take exam march 3
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham,yeah think use gt atm register sure anyway help let know sure ready
Ok no prob. Take ur time.,ham,ok prob take ur time
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham,o called ubandu run without installing hard disk use o copy important file system give repair shop
"Sorry, I'll call later",ham,sorry call later
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam,500 new mobile 2004 must go txt nokia 89545 collect today 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18
Would really appreciate if you call me. Just need someone to talk to.,ham,would really appreciate call need someone talk
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries
Hey company elama po mudyadhu.,ham,hey company elama po mudyadhu
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
Dear good morning now only i am up,ham,dear good morning
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,get gandhipuram walk cross cut road right side lt gt street road turn first right
Dear we are going to our rubber place,ham,dear going rubber place
"Sorry battery died, yeah I'm here",ham,sorry battery died yeah
Yes:)here tv is always available in work place..,ham,yes tv always available work place
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recd thirtyeight penny
I have printed it oh. So  &lt;#&gt;  come upstairs,ham,printed oh lt gt come upstairs
Or ill be a little closer like at the bus stop on the same street,ham,ill little closer like bus stop street
Where are you?when wil you reach here?,ham,wil reach
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham,new theory argument win situation loses person dont argue ur friend kick amp say always correct
